PIXELS,LC,COUNTRY_ID
364434,30,236
356815,120,236
1,210,402
650066,40,236
579612,10,236
23260,90,236
32908,200,236
426,200,626
78556,150,236
2179,150,633
7743,200,633
1666774,11,236
397762,20,236
507,202,236
7217,110,236
3745,80,519
1498,201,633
408039,60,458
34803,90,458
4809,201,236
21,80,632
51168,100,458
51778,70,458
44987,120,458
7547,150,458
89707,130,458
12420,200,458
65132,60,645
13718,120,632
1568,180,458
6185,201,458
15477,30,645
61323,11,458
475,61,458
13046,90,645
21775,70,645
51694,100,645
24508,130,645
14394,10,645
41,80,458
7,120,398
74824,30,458
123682,10,458
919,61,645
858,40,645
125207,40,458
4729,210,458
9006,11,645
3,120,237
10,160,458
9,80,236
4222,110,458
5,110,638
1643,190,645
15,80,633
5903,220,458
16989,190,458
586,210,241
67,150,241
199,10,241
1,150,400
1467,150,645
4,81,458
5180,210,645
182,202,458
315,110,633
65,61,236
2971,122,236
